# VASP Wiki INCAR tag help for pei_vasp_univ_find_and_change.
# Source: https://vasp.at/wiki/Category:INCAR_tag
# Retrieved: 2026-07-20; 609 INCAR keys/families from 612 category pages.
# NPPSTR and PFLAT use their page titles because their Wiki TAGDEF templates currently name another tag.
# NICS, POSNICS, NMRCAR.magres, and Profiling are category pages but not INCAR keys.
# Format: TAG<TAB>concise description; common choices and/or defaults.
IBRION	Determines how the crystal structure changes during the calculation; options=-1/0/1/2/3/5/6/7/...; defaults=-1/0
IBSE	IBSE can be used to select the algorithm for solving the Bethe-Salpeter or Casida equation; options=0/1/2/3; default=2
ICHARG	ICHARG determines how VASP constructs the initial charge density; options=0/1/2/4/5; defaults=2/0
ICHIBARE	Determines the order of the finite difference stencil used to calculate the magnetic susceptibility; options=1/2/3; default=1
ICORELEVEL	ICORELEVEL controls whether the core energies are explicitly calculated or not and how they are...; options=0/1/2; default=0
IDIPOL	IDIPOL switches on monopole/dipole and quadrupole corrections to the total energy in a specific...; options=1/2/3/4
IEPSILON	IEPSILON determines along which Cartesian direction the E field is applied; options=1/2/3/4
IFC_ASR	If positive, enforces the acoustic sum rule on the interatomic force constants during an electron-...; default=1
IFC_LR	Controls the treatment of the long-range part of the interatomic force constants during electron-...; default=1
IGPAR	Specifies the reciprocal-space integration direction used with LCALCPOL; options=1/2/3
IMAGES	Defines the number of VASP calculations in separate directories, (e.g., 01, 02, 03, etc.) for nudged...; default=0
IMAGE_1	Group INCAR settings for calculations using IMAGES; options=block construct; default=None
IMIX	IMIX specifies the type of density mixing; options=0/1/2/4; default=4
INCREM	INCREM controls the transformation velocity in the slow-growth approach (in case VASP was compiled...; default=0
INIMIX	Determines the functional form of the initial mixing matrix in the Broyden scheme (IMIX=4); options=0/1/2; default=1
INIWAV	Specifies how to set up the initial orbitals in case ISTART=0; options=0/1; default=1
INMRPRINT	Determines the verbosity of the NMR output; options=-1/0/1; default=0
INTERACTIVE	INTERACTIVE enables an interactive mode in which a series of structures is piped into VASP via stdin; T=on, F=off; default=FALSE
IPEAD	IPEAD specifies the order of the finite difference stencil used to compute the derivative of the cell-...; options=1/2/3/4; default=4
IRC_DELTA0	Defines the tolerance factor _0 in A used in the IRC calculations; default=0.0015
IRC_DIRECTION	Defines the direction of the initial displacement of the initial transition-state structure in IRC...; options=-1/1; default=1
IRC_MAXSTEP	Upper limit for the step size (in fs); default=3.000
IRC_MINSTEP	Lower limit for the step size (in fs); default=0.0250
IRC_STOP	Sets the number of steps in which the energy must monotonously increase before an IRC calculation...; default=20
IRC_VNORM0	The constant velocity vector (in A/fs) in an IRC calculation; default=0.002
ISEARCH	Controls the line-search algorithm used during the direct minimization of the electronic structure...; options=0/1; default=0
ISIF	Determines if the stress tensor is calculated and which ionic degrees of freedom are varied; options=0/1/2/3/4/5/6/7/...; defaults=0/2
ISMEAR	ISMEAR determines how the partial occupancies fnk are set for each orbital. SIGMA determines the width...; options=-15/-14/-5/-4/-3/-2/-1/0/...; default=1
ISPIN	ISPIN specifies whether a calculation is performed with or without spin polarization; options=1/2; default=1
ISTART	ISTART determines whether or not to read the WAVECAR file; options=0/1/2/3; defaults=1/0
ISYM	ISYM determines the way VASP treats symmetry; options=-1/0/1/2/3; defaults=1/3/2
IVDW	IVDW specifies a vdW dispersion term of the atom-pairwise or many-body type; default=0
IVDW_NL	IVDW_NL allows to select the kernel of the nonlocal van der Waals part of a functional (available as...; defaults=1/2
IWAVPR	IWAVPR determines how orbitals and/or charge densities are extrapolated from one ionic configuration...; options=0/1/2/3/10/11/12/13; defaults=12/0
I_CONSTRAINED_M	I_CONSTRAINED_M switches on the constrained local moments approach; options=1/2/4; default=none
KBLOCK	After KBLOCK * NBLOCK ionic steps the averaged pair-correlation function and DOS are written to the...; default=NSW
KERNEL_TRUNCATION/FACTOR	Determines the spatial extent of the truncated Coulomb interaction relative to the computational cell...; defaults=sqrt(3)/1
